Index,Book Name,Author,Rating,Number of Votes,Score
1101,The Once and Future Sex: Going Medieval on Women's Roles in Society,Eleanor Janega,4.07,"1,973",98
1102,Die Bäume,Percival Everett,4.06,"34,790",98
1103,Vespertine,Margaret Rogerson,4.10,"22,442",98
1104,Musical Tables: Poems,Billy Collins,3.78,"1,930",98
1105,To Break a Covenant,Alison Ames,3.67,"1,289",98
1106,"Magdalene Nox (The Headmistress, #2)",Milena McKay,4.57,"1,076",98
1107,Honeybee,Craig Silvey,4.40,"37,054",98
1108,With All My Heart (Play On #3),Samantha Young,4.16,"3,753",98
1109,Nottingham: The True Story of Robyn Hood,Anna Burke,4.28,"1,513",98
1110,"The Arc of a Covenant: The United States, Israel, and the Fate of the Jewish People",Walter Russell Mead,4.22,412,98
1111,"Love, Pamela: A Memoir",Pamela Anderson,3.80,"33,583",98
1112,A Thousand Heartbeats,Kiera Cass,3.91,"25,202",98
1113,"When the Moon Hatched (Moonfall, #1)",Sarah A. Parker,4.10,"104,652",98
1114,DAVE,Raphaela Edelbauer,3.57,423,98
1115,The God of the Woods,Liz Moore,4.22,"123,890",98
1116,The Ministry of Time,Kaliane Bradley,3.62,"61,285",98
1117,"The Blacktongue Thief (Blacktongue, #1)",Christopher Buehlman,4.22,"27,174",98
1118,We All Want Impossible Things,Catherine Newman,"really liked it
4.00","36,963",98
1119,The Children on the Hill,Jennifer McMahon,3.86,"31,725",98
1120,Heat 2,Michael Mann,4.25,"10,928",98
1121,Reprieve,James Han Mattson,3.40,"7,162",98
1122,My Mother's House,Francesca Momplaisir,3.36,451,97
1123,"Like Flames in the Night (Cities of Refuge, #4)",Connilyn Cossette,4.65,"2,373",97
1124,"The Highlander's Excellent Adventure (The Survivors, #8)",Shana Galen,4.02,574,97
1125,Black Buck,Mateo Askaripour,3.71,"27,690",97
1126,Αστικά δύστυχα,Δημήτρης Γκιούλος,4.53,116,97
1127,Mother May I,Joshilyn Jackson,3.82,"22,967",97
1128,"Riviera Gold (Mary Russell and Sherlock Holmes, #16)",Laurie R. King,4.07,"6,102",97
1129,Mijn meningen zijn feiten: de wording van Thierry Baudet,Harm Ede Botje,3.81,508,97
1130,Unsporting: How Trans Activism and Science Denial are Destroying Sport,Linda Blade,4.15,97,97
1131,A Curse of Roses,Diana Pinguicha,3.77,"1,422",97
1132,"Last of the Talons (Talon, #1)",Sophie Kim,3.89,"1,550",97
1133,Lurking: How a Person Became a User,Joanne McNeil,3.77,847,97
1134,Journey to the Cross: A 40-Day Lenten Devotional,Paul David Tripp,4.57,"1,255",97
1135,"The Dragons, the Giant, the Women: A Memoir",Wayétu Moore,4.24,"2,953",97
1136,"Love Me (WITSEC, #3)",Ashley N. Rostek,4.28,"18,836",97
1137,"Quando accadrà dillo alle api (Outlander, #9)",Diana Gabaldon,4.45,"81,721",97
1138,Hero of Two Worlds: The Marquis de Lafayette in the Age of Revolution,Mike Duncan,4.52,"5,903",97
1139,The Happily Ever After: A Memoir of an Unlikely Romance Novelist,Avi Steinberg,3.41,94,97
1140,The Philosophy of Modern Song,Bob Dylan,3.80,"3,331",97
1141,Dark Places,Sherrilyn Kenyon,3.91,413,97
1142,The Girl Behind the Gates,Brenda Davies,4.52,"19,395",97
1143,"The Tea Dragon Tapestry (Tea Dragon, #3)",Kay O'Neill,4.50,"20,870",97
1144,The Cloisters,Katy Hays,3.40,"62,571",97
1145,Me and Banksy,Tanya Lloyd Kyi,3.95,574,97
1146,The Eighth Wonder of the World: The True Story of André the Giant,Bertrand Hébert,4.14,657,97
1147,Cinema Speculation,Quentin Tarantino,4.05,"11,388",97
1148,The Running Trees,Amber McMillan,4.04,24,97
1149,Storia di due anime,Alex Landragin,3.85,"8,989",97
1150,Private Moscow (Private #15),James Patterson,4.24,"9,519",97
1151,If Tomorrow Doesn't Come,Jen St. Jude,4.18,"4,191",97
1152,Wrony,"Petra Dvořáková",4.40,"23,013",97
1153,"Goodbye, Eri",Tatsuki Fujimoto,4.34,"13,878",97
1154,"Whispers in the Woods (Cryptid Alliance, #1)",K.C. Carmine,4.08,135,97
1155,The Queen of Dirt Island,Donal Ryan,4.08,"10,282",97
1156,Unruly: The Ridiculous History of England's Kings and Queens,David Mitchell,4.16,"16,692",97
1157,The Good Wife of Bath,Karen Brooks,4.19,"5,557",97
1158,"Of Time and Turtles: Mending the World, Shell by Shattered Shell: A heartwarming compassionate portrait of injured turtles, perfect for nature lovers.",Sy Montgomery,4.07,"2,563",97
1159,Hotel Laguna,Nicola Harrison,3.80,"2,924",97
1160,Die geheimste Erinnerung der Menschen,Mohamed Mbougar Sarr,4.18,"11,591",97
1161,"Zhara (Guardians of Dawn, #1)",S. Jae-Jones,3.51,"3,123",97
1162,Nonbinary: A Memoir,Genesis P-Orridge,4.03,448,97
1163,It Looks Like Us,Alison Ames,3.67,839,97
1164,You're Not the Problem: The Impact of Narcissism and Emotional Abuse and How to Heal,Helen Villiers,4.66,237,97
1165,People to Follow,Olivia Worley,3.57,"2,058",97
1166,First Lie Wins,Ashley Elston,4.03,"455,744",97
1167,Role Playing,Cathy Yardley,3.94,"13,015",97
1168,Thrust,Lidia Yuknavitch,3.54,"2,186",97
1169,Golden Heritage (Crumbling Hearts #2),Carolin Wahl,3.99,"1,527",97
1170,The Measure,Nikki Erlick,3.99,"250,833",97
1171,"Unfortunately Yours (A Vine Mess, #2)",Tessa Bailey,3.79,"86,528",97
1172,"The Code Breaker: Jennifer Doudna, Gene Editing, and the Future of the Human Race",Walter Isaacson,4.28,"36,955",97
1173,The Jakarta Method: Washington's Anticommunist Crusade and the Mass Murder Program that Shaped Our World,Vincent Bevins,4.61,"11,388",97
1174,The Lion Women of Tehran,Marjan Kamali,4.49,"19,245",97
1175,Über Menschen,Juli Zeh,4.06,"10,900",97
1176,"Moment of Truth (Love, Life, and the List, #3)",Kasie West,3.92,"8,979",97
1177,"The Armour of Light (Kingsbridge, #4)",Ken Follett,4.23,"43,249",97
1178,Yeonnam-dong's Smiley Laundromat,Kim Jiyun,3.97,405,97
1179,The Sad Ghost Club,Lize Meddings,3.99,"15,179",97
1180,22 Bahnen,Caroline Wahl,4.33,"21,370",97
1181,Wash Day Diaries,Jamila Rowser,4.35,"10,167",97
1182,"Stella Maris (The Passenger, #2)",Cormac McCarthy,3.87,"19,296",97
1183,Starter Villain,John Scalzi,4.15,"56,413",97
1184,"Tiohtiá : ke",Michel Jean,4.21,"2,947",97
1185,"The Dirty South (Charlie Parker, #18)",John Connolly,4.20,"8,738",96
1186,"Spirit Run: A 6,000-Mile Marathon Through North America's Stolen Land",Noé Álvarez,3.51,"4,373",96
1187,Imperfect Women,Araminta Hall,3.36,"3,812",96
1188,Wicked Liaison,Meara Platt,4.41,80,96
1189,Lessons From the Least of These: The Woodson Principles,Robert L. Woodson Sr.,4.49,90,96
1190,"The Rakess (Society of Sirens, #1)",Scarlett Peckham,3.84,"2,899",96
1191,Ο Δον Υπαστυνόμος,Δημήτρης Καρακίτσος,4.08,149,96
1192,Material Girls: Why Reality Matters for Feminism,Kathleen Stock,4.22,"1,981",96
1193,"High Risk: Stories of Pregnancy, Birth, and the Unexpected",Chavi Eve Karkowsky,4.41,727,96
1194,"The Captive Kingdom (Ascendance, #4)",Jennifer A. Nielsen,4.17,"8,094",96
1195,"The Liar's Crown (Dominions, #1)",Abigail Owen,3.86,"8,864",96
1196,The Love Song of Ivy K. Harlowe,Hannah Moskowitz,3.67,576,96
1197,What Are You Going Through,Sigrid Nunez,3.74,"14,772",96
1198,Festival Days,Jo Ann Beard,4.05,"1,029",96
1199,The High House,Greengrass Jessie,3.97,"3,609",96
1200,The Girl and the Goddess: Stories and Poems of Divine Wisdom,Nikita Gill,4.43,"3,690",96
1201,How to Be Ace: A Memoir of Growing Up Asexual,Rebecca Burgess,4.15,"3,645",96
1202,"The Diary Keepers: World War II in the Netherlands, as Written by the People Who Lived Through It",Nina Siegal,4.33,494,96
1203,Omar Rising,Aisha Saeed,4.21,"1,445",96
1204,Map Reading: The Nobel Lecture and Other Writings,Abdulrazak Gurnah,3.77,52,96
1205,Grasp: The Science Transforming How We Learn,Sanjay Sarma,3.73,368,96
1206,A Fig for All the Devils,C.S. Fritz,3.92,"1,226",96
1207,First Person Singular: Stories,Haruki Murakami,3.54,"43,851",96
1208,The Mountain Is You: Transforming Self-Sabotage Into Self-Mastery,Brianna Wiest,4.08,"71,351",96
1209,Jessi's Secret Language: A Graphic Novel (The Baby-Sitters Club Graphic Novels #12),Chan Chau,4.38,"3,605",96
1210,"The Empire's Ruin (Ashes of the Unhewn Throne, #1)",Brian Staveley,4.44,"2,748",96
1211,Prequel: An American Fight Against Fascism,Rachel Maddow,4.44,"11,468",96
1212,Look Back,Tatsuki Fujimoto,4.25,"9,610",96
1213,Ringmaster: Vince McMahon and the Unmaking of America,Abraham Riesman,3.75,"1,887",96
1214,The Care and Breeding of Princes,Arden Lake,3.78,9,96
1215,The Men,Sandra Newman,2.92,"2,125",96
1216,Going Infinite: The Rise and Fall of a New Tycoon,Michael Lewis,3.80,"27,536",96
1217,"Dash & Lily: Vorsicht, Glatteis!",Rachel Cohn,3.60,"6,036",96
1218,"Deep State (Hayley Chill Thriller, #1)",Chris Hauty,3.89,"4,018",96
1219,Above Ground,Clint Smith,4.56,"4,033",96
1220,"How I Survived a Chinese ""Reeducation"" Camp: A Uyghur Woman's Story",Gulbahar Haitiwaji,4.14,"1,477",96
1221,"Tasting History: Explore the Past through 4,000 Years of Recipes",Max Miller,4.37,"1,106",96
1222,Das Kaufhaus der Träume,Lee Mi-ye,3.75,"14,479",96
1223,Guard Your Heart,Sue Divin,3.97,"1,094",96
1224,La Société protectrice des Kaijus,John Scalzi,3.99,"59,129",96
1225,Stranger Than Kindness,Nick Cave,4.21,458,96
1226,The Last Bookshop in London,Madeline Martin,4.15,"78,868",96
1227,"Die Auserwählte (This Vicious Grace, #1)",Emily Thiede,3.96,"15,064",96
1228,La última nota (Canciones para ella #1),Joana Marcús,4.50,"41,633",96
1229,The Butcher of the Forest,Premee Mohamed,3.94,"3,616",96
1230,The Flaw in Our Design,Monica McCallan,4.31,"1,719",96
1231,The Mountain in the Sea,Ray Nayler,3.92,"23,768",96
1232,"Waging a Good War: A Military History of the Civil Rights Movement, 1954-1968",Thomas E. Ricks,4.45,346,96
1233,The Spirit Bares Its Teeth,Andrew Joseph White,4.50,"10,117",96
1234,Die Erweiterung,Robert Menasse,3.88,420,96
1235,Running Close to the Wind,Alexandra Rowland,4.06,"1,554",96
1236,This American Ex-Wife: How I Ended My Marriage and Started My Life,Lyz Lenz,3.98,"3,638",96
1237,"How often do you think about the Roman Empire?: 2000 Fascinating Facts, Figures and Stories that Impress, Shock, and Learn about the Roman Empire",Birdy Slade,3.50,8,96
1238,What Lies Between Us,John Marrs,4.05,"128,539",96
1239,Love Triangle,Matt Parker,4.11,332,96
1240,"He Who Drowned the World (The Radiant Emperor, #2)",Shelley Parker-Chan,4.25,"10,139",96
1241,"Infinity Gate (Pandominion, #1)",M.R. Carey,4.16,"6,474",96
1242,"A Court of Thorns and Roses Paperback Box Set (5 books) (A Court of Thorns and Roses, 9)",Sarah J. Maas,4.80,"25,121",96
1243,Leave the World Behind,Rumaan Alam,3.16,"156,989",96
1244,We Wish You Luck,Caroline Zancan,3.16,"1,767",95
1245,The Kingdom of Back,Marie Lu,3.71,"22,466",95
1246,Sad Janet,Lucie Britsch,3.32,"2,535",95
1247,Με τις μέλισσες ή με τους λύκους: Αγόρευση στη δίκη της Χρυσής Αυγής,Θανάσης Καμπαγιάννης,4.81,446,95
1248,Divided We Fall: America's Secession Threat and How to Restore Our Nation,David French,4.10,"1,274",95
1249,"A Sprinkle of Sorcery (A Pinch of Magic, #2)",Michelle Harrison,4.15,"2,914",95
1250,Den of Vipers,K.A. Knight,3.64,"173,337",95
1251,The Four Profound Weaves,R.B. Lemberg,3.80,"1,189",95
1252,Sexy But Psycho: How the Patriarchy Uses Women’s Trauma Against Them,Jessica Taylor,3.85,627,95
1253,"Pirate's Paradox (Sentinels of Savannah, #6)",Lisa Kessler,4.31,96,95
1254,A World Without Email: Reimagining Work in an Age of Communication Overload,Cal Newport,3.89,"5,836",95
1255,Live Not by Lies: A Manual for Christian Dissidents,Rod Dreher,4.36,"6,498",95
1256,An Autobiography of the Autobiography of Reading (CLC Kreisel Lecture Series),Dionne Brand,4.24,82,95
1257,Inseparable,Simone de Beauvoir,4.09,"20,879",95
1258,"The Fall of Babel (The Books of Babel, #4)",Josiah Bancroft,4.01,"7,752",95
1259,Open Water,Caleb Azumah Nelson,4.04,"69,513",95
1260,Το πράσινο σημειωματάριο,Clare Pooley,3.94,"86,829",95
1261,"Aru Shah and the City of Gold (Pandava, #4)",Roshani Chokshi,4.45,"5,426",95
1262,Monkey Prince Vol. 1: Enter the Monkey,Gene Luen Yang,3.68,253,95
1263,Chick Magnet,Emma Barry,3.85,"1,517",95
1264,Except for Palestine: The Limits of Progressive Politics,Marc Lamont Hill,4.21,"3,549",95
1265,The Wilderwomen,Ruth Emmie Lang,3.50,"10,660",95
1266,"You Are Your Best Thing: Vulnerability, Shame Resilience, and the Black Experience",Tarana Burke,4.52,"6,989",95
1267,Paradais,Fernanda Melchor,3.64,"14,318",95
1268,Holly,Stephen King,4.11,"124,785",95
1269,"Cloak of Scarlet (The Dericott Tales, #5)",Melanie Dickerson,4.03,906,95
1270,Apropos of Nothing,Woody Allen,4.02,"10,865",95
1271,The Things We Leave Unfinished,Rebecca Yarros,4.30,"212,593",95
1272,"A Prayer for the Crown-Shy (Monk & Robot, #2)",Becky Chambers,4.41,"62,021",95
1273,Das NEINhorn und die Schlangeweile,Marc-Uwe Kling,4.20,725,95
1274,Every Penguin in the World: A Quest to See Them All,Charles Bergman,4.14,127,95
1275,"The Paris Mystery (Charlotte 'Charlie' James, #1)",Kirsty Manning,3.43,"1,788",95
1276,After the Ink Dries,Cassie Gustafson,4.17,719,95
1277,"For the Wolf (Wilderwood, #1)",Hannah F. Whitten,3.61,"53,761",95
1278,"The Hexologists (The Hexologists, #1)",Josiah Bancroft,3.81,"4,929",95
1279,Marche ta peine,Maryvonne Rippert,3.97,75,95
1280,Consider This: Moments in My Writing Life After Which Everything Was Different,Chuck Palahniuk,4.39,"5,204",95
1281,"The Tainted Cup (Shadow of the Leviathan, #1)",Robert Jackson Bennett,4.32,"21,645",95
1282,Poor Deer,Claire Oshetsky,3.98,"3,611",95
1283,The Invocations,Krystal Sutherland,4.11,"7,284",95
1284,Die Diplomatin,Lucy Fricke,3.69,"2,235",95
1285,Praiseworthy,Alexis Wright,3.89,348,95
1286,In the Long Run,Haley Cass,4.33,"5,105",95
1287,"Brutal Prince (Brutal Birthright, #1)",Sophie Lark,3.77,"163,231",95
1288,You Will Get Through This Night,Daniel Howell,4.24,"6,529",95
1289,"Twisted Hate (Twisted, #3)",Ana Huang,3.98,"553,109",95
1290,Time Shelter,Georgi Gospodinov,3.75,"19,251",95
1291,The Exhibition of Persephone Q,Jessi Jezewska Stevens,3.38,687,94
1292,Black Girl Unlimited,Echo Brown,4.32,"4,450",94
1293,One Day All This Will Be Yours,Adrian Tchaikovsky,4.03,"4,138",94
1294,The Good Girls: An Ordinary Killing,Sonia Faleiro,3.77,"2,515",94
1295,"Bridge of Souls (Cassidy Blake, #3)",Victoria Schwab,4.03,"20,510",94
1296,The Valley of Lost Secrets,Lesley Parr,4.36,"1,167",94
1297,Μόνο κανέναν μη μου φέρεις σπίτι,Nikolas Koutsodontis,4.65,34,94
1298,"A Tangle of Spells (A Pinch of Magic, #3)",Michelle Harrison,4.38,"1,546",94
1299,"Stormblood (The Common, #1)",Jeremy Szal,3.72,595,94
1300,"The Darkest King (Lords of the Underworld, #15)",Gena Showalter,4.22,"5,090",94
1301,"Magic Dark, Magic Divine (Warrior of the Divine Sword, #1)",A.J. Locke,4.05,196,94
1302,Privacy is Power: Why and How You Should Take Back Control of Your Data,Carissa Véliz,4.03,"1,054",94
1303,Craft in the Real World: Rethinking Fiction Writing and Workshopping,Matthew Salesses,4.46,"2,200",94
1304,Race the Sands,Sarah Beth Durst,4.32,"3,469",94
1305,All Girls,Emily Layden,3.21,"5,053",94
1306,The Tea Dragon Society Box Set,Kay O'Neill,4.59,351,94
1307,Nights of Plague,Orhan Pamuk,3.57,"5,258",94
1308,Aru Shah and the Tree of Wishes (Pandava #3),Roshani Chokshi,4.39,"7,088",94
1309,The Heartstopper Colouring Book,Alice Oseman,4.64,"2,239",94
1310,Animal,Lisa Taddeo,3.71,"41,102",94
1311,When the World Was Ours,Liz Kessler,4.52,"4,943",94
1312,The Silence,Don DeLillo,2.66,"13,489",94
1313,This Other Eden,Paul Harding,3.78,"16,794",94
1314,Wonderland,Juno Dawson,3.68,"2,813",94
1315,The House of Serendipity,Lucy Ivison,3.95,226,94
1316,Lotus,Jennifer Hartmann,4.21,"47,415",94
1317,The Wim Hof Method: Activate Your Full Human Potential,Wim Hof,3.83,"15,572",94
1318,Princess Floralinda and the Forty-Flight Tower,Tamsyn Muir,4.18,"6,900",94
1319,A Day of Fallen Night (The Roots of Chaos #0),Samantha Shannon,4.36,"38,149",94
1320,Tinsel: The Girls Who Invented Christmas,Sibéal Pounder,4.12,912,94
1321,State of Terror,Hillary Rodham Clinton,4.09,"79,013",94
1322,Photo Ark Wonders: Celebrating Diversity in the Animal Kingdom,Joel Sartore,4.74,126,94
1323,Do Tell,Lindsay Lynch,3.22,"2,797",94
1324,The Secrets We Keep,Cassie Gustafson,4.20,358,94
1325,Platonic: How the Science of Attachment Can Help You Make—and Keep—Friends,Marisa G. Franco,4.05,"6,393",94
1326,"The Crown of Oaths and Curses (The Mortal Fates, #1)",J. Bree,4.27,"14,179",94
1327,Boss of Her,Anna Stone,4.24,"1,331",94
1328,Drunk on All Your Strange New Words,Eddie Robson,3.91,"3,035",94
1329,"The Great Demographic Reversal: Ageing Societies, Waning Inequality, and an Inflation Revival",Charles Goodhart,4.10,449,94
1330,"The Atlas Complex (The Atlas, #3)",Olivie Blake,2.89,"19,208",94
1331,Inferno: A Memoir of Motherhood and Madness,Catherine Cho,4.24,"4,260",93
1332,"Unconquerable Sun (The Sun Chronicles, #1)",Kate Elliott,3.92,"2,800",93
1333,Ποιήματα (1962-2018),Γεράσιμος Λυκιαρδόπουλος,4.55,20,93
1334,Dead Famous: An Unexpected History of Celebrity from Bronze Age to Silver Screen,Greg Jenner,3.80,"3,072",93
1335,Summer Sons,Lee Mandelo,3.80,"11,817",93
1336,Aristocracy of Talent: How Meritocracy Made the Modern World,Adrian Wooldridge,3.85,434,93
1337,"The Darkest Destiny (Lords of the Underworld, #15.5)",Gena Showalter,4.24,"1,214",93
1338,"Pirate's Promise (Sentinels of Savannah, #5)",Lisa Kessler,4.35,96,93
1339,Harleen,Stjepan Šejić,4.53,"11,307",93
1340,"Farewell to the Liar (Tales of Fenest, #3)",D.K. Fields,4.13,86,93
1341,Brotherhood,Mike Chen,4.16,"9,220",93
1342,"The World We Make (Great Cities, #2)",N.K. Jemisin,4.10,"16,590",93
1343,Layoverland,Gabby Noone,3.70,"3,071",93
1344,Sandy Hook,Elizabeth Williamson,4.29,"3,386",93
1345,It Takes What It Takes: How to Think Neutrally and Gain Control of Your Life,Trevor Moawad,3.97,"2,364",93
1346,The Seventh Mansion,Maryse Meijer,4.08,252,93
1347,The Extraordinary Deaths of Mrs. Kip,Sara Brunsvold,4.37,"4,002",93
1348,"Greywaren (Dreamer Trilogy, #3)",Maggie Stiefvater,4.29,"12,541",93
1349,"Soul Taken (Mercy Thompson, #13)",Patricia Briggs,4.44,"25,161",93
1350,They Called Me a Lioness: A Palestinian Girls Fight for Freedom,Ahed Tamimi,4.69,"3,764",93
1351,Fruiting Bodies: Stories,Kathryn Harlan,4.17,"2,785",93
1352,Red Team Blues (Martin Hench #1),Cory Doctorow,3.90,"3,737",93
1353,The Warrior in My Wardrobe (The Misadventures of Merdyn the Wild #2),Simon Farnaby,4.19,121,93
1354,Birds: Photographs,Tim Flach,4.74,70,93
1355,Harlem After Midnight (Canary Club #2),Louise Hare,3.51,597,93
1356,Conversations with Orhan Pamuk,Erdağ M. Göknar,"really liked it
4.00",1 rating,93
1357,Flower and Thorn,Rati Mehrotra,3.87,274,93
1358,Extinction,Douglas Preston,4.13,"11,477",93
1359,The Liar of Red Valley,Walter Goodwater,3.91,484,93
1360,The Glass House,Anne Buist,3.88,"1,864",93
1361,Say Hello to My Little Friend,Jennine Capó Crucet,3.77,579,93
1362,Judgement at Tokyo: World War II on Trial and the Making of Modern Asia,Gary J. Bass,4.29,880,93
1363,Perfect on Paper,Sophie Gonzales,3.98,"33,908",93
1364,D.R.U.G.S.,Neal Shusterman,3.93,"6,442",93
1365,"The Wide Wide Sea: Imperial Ambition, First Contact and the Fateful Final Voyage of Captain James Cook",Hampton Sides,4.50,"4,718",93
1366,"A Door in the Dark (Waxways, #1)",Scott Reintgen,3.84,"4,721",93
1367,Annie Bot,Sierra Greer,3.82,"31,497",93
1368,Blackout,Dhonielle Clayton,3.90,"24,511",93
1369,"Laid Bare (Mistress, #0.5)",Anna Stone,3.92,537,93
1370,The Puffin Keeper,Michael Morpurgo,4.27,871,93
1371,"Swift and Saddled (Rebel Blue Ranch, #2)",Lyla Sage,3.97,"71,638",93
1372,Smalltime: A Story of My Family and the Mob,Russell Shorto,3.83,"1,552",92
1373,Life after Truth,Ceridwen Dovey,3.28,827,92
1374,Ενδεχόμενα τοπία,Δανάη Σιώζιου,4.40,88,92
1375,"The Missing Diamonds (Agent Zaiba Investigates, #1)",Annabelle Sami,4.07,134,92
1376,The End of Everything,Katie Mack,4.26,"11,138",92
1377,The Brightest Star in Paris,Diana Biller,3.86,"1,130",92
1378,"Good Morning, Monster: A Therapist Shares Five Heroic Stories of Emotional Recovery",Catherine Gildiner,4.45,"45,866",92
1379,"The Warlord (Rise of the Warlords, #1)",Gena Showalter,4.16,"4,759",92
1380,The Neil Gaiman Reader: Selected Fiction,Neil Gaiman,4.47,"2,009",92
1381,The Magnificent Lives of Marjorie Post,Allison Pataki,4.15,"62,938",92
1382,"Tokyo Ever After (Tokyo Ever After, #1)",Emiko Jean,3.89,"47,785",92
1383,The Love Con,Seressia Glass,3.68,"5,370",92
1384,"The Shadow of Kyoshi (The Kyoshi Novels, #2)",F.C. Yee,4.35,"22,484",92
1385,"Driving the Deep (Finder Chronicles, #2)",Suzanne Palmer,4.36,"1,710",92
1386,Once Upon a Quinceañera,Monica Gomez-Hira,3.61,"1,704",92
1387,Bone Deep: Untangling the Betsy Faria Murder Case,Charles Bosworth Jr.,4.30,"3,622",92
1388,Not Your All-American Girl,Wendy Wan-Long Shang,4.20,565,92
1389,Time to Think: The Inside Story of the Collapse of the Tavistock's Gender Service for Children,Hannah Barnes,4.39,"1,045",92
1390,Uncomfortable Conversations With a Black Man,Emmanuel Acho,4.39,"27,331",92
1391,Jackal,Erin E. Adams,3.65,"14,342",92
1392,Velocities,Kathe Koja,3.67,329,92
1393,Stolen Focus: Why You Can't Pay Attention— and How to Think Deeply Again,Johann Hari,4.24,"58,534",92
1394,"Bag Man: The Wild Crimes, Audacious Cover-Up, and Spectacular Downfall of a Brazen Crook in the White House",Rachel Maddow,4.32,"7,193",92
1395,"Final Offer (Dreamland Billionaires, #3)",Lauren Asher,4.22,"251,603",92
1396,"Ship Wrecked (Spoiler Alert, #3)",Olivia Dade,3.54,"14,223",92
1397,"Tentacles & Triathlons (Leviathan Fitness, #2)",Ashley Bennett,4.11,"7,206",92
1398,The Labors of Hercules Beal,Gary D. Schmidt,4.52,"4,805",92
1399,The Danger Gang,Tom Fletcher,4.23,"1,712",92
1400,Mr Wilder & Me,Jonathan Coe,3.76,"6,411",92
1401,The Fate of a Flapper (The Speakeasy Murders #2),Susanna Calkins,3.82,348,92
1402,Tryst Six Venom,Penelope Douglas,3.88,"32,798",92
1403,The Last Two: The Battle to Save the Northern White Rhinos,"Boštjan Videmšek",4.51,57,92
1404,"Después de diciembre (Meses a tu lado, #2)",Joana Marcús,4.34,"74,073",92
1405,Until August,"Gabriel García Márquez",3.62,"29,433",92
1406,Picasso's War: How Modern Art Came to America,Hugh Eakin,4.36,918,92
1407,"The Hunger of the Gods (The Bloodsworn Saga, #2)",John Gwynne,4.54,"25,858",92
1408,"Kill Joy (A Good Girl's Guide to Murder, #0.5)",Holly Jackson,3.77,"116,217",92
1409,Last Night at the Telegraph Club,Malinda Lo,4.22,"95,493",92
1410,Happy & You Know It,Laura Hankin,3.68,"26,712",91
1411,"The Hundred Years' War on Palestine: A History of Settler Colonialism and Resistance, 1917–2017",Rashid Khalidi,4.50,"19,914",91
1412,Love Your Life,Sophie Kinsella,3.34,"47,530",91
1413,The Historians,Cecilia Ekbäck,3.78,"2,838",91
1414,21 ρωγμές στην επίσημη ιστορία για το 1821,Σπύρος Αλεξίου,4.22,79,91
1415,One of the Good Ones,Maika Moulite,4.13,"4,552",91
1416,A Wolf for a Spell,Karah Sutton,4.02,"1,667",91
1417,Too Good to Be True,Carola Lovering,3.85,"41,938",91
1418,Members Only,Sameer Pandya,3.91,"1,714",91
1419,Northern Protestants: On Shifting Ground,Susan McKay,4.38,237,91
1420,"The Black Church: This Is Our Story, This Is Our Song",Henry Louis Gates Jr.,4.07,"1,165",91
1421,Unlikely Animals,Annie Hartnett,4.08,"20,933",91
1422,Crip Kinship: The Disability Justice & Art Activism of Sins Invalid,Shayda Kafai,4.27,270,91
1423,"Queen (Sterling Falls, #4)",S. Massery,4.31,"2,498",91
1424,Not Here to Be Liked,Michelle Quach,3.65,"22,158",91
1425,Marigold and Rose,Louise Glück,3.65,"2,948",91
1426,Confidence Man: The Making of Donald Trump and the Breaking of America,Maggie Haberman,4.09,"9,672",91
1427,"The Dawn of Yangchen (The Yangchen Novels, #1)",F.C. Yee,3.92,"7,940",91
1428,"Until the Last of Me (Take Them to the Stars, #2)",Sylvain Neuvel,3.84,"1,746",91
1429,The Ahuman Manifesto: Activism for the End of the Anthropocene,Patricia MacCormack,3.40,55,91
1430,A Most Beautiful Thing: The True Story of America's First All-Black High School Rowing Team,Arshay Cooper,4.35,"5,855",91
1431,"The Hidden Palace (The Golem and the Jinni, #2)",Helene Wecker,4.14,"16,413",91
1432,Crowbones (The World of the Others #3; The Others #8),Anne Bishop,4.39,"8,165",91
1433,Pandora's Jar: Women in the Greek Myths,Natalie Haynes,4.23,"22,046",91
1434,Simon Sort of Says,Erin Bow,4.31,"4,545",91
1435,When You Least Expect It,Haley Cass,4.32,"12,743",91
1436,The Spectacular,Fiona Davis,4.09,"32,757",91
1437,Ain't Burned All the Bright,Jason Reynolds,4.42,"16,496",91
1438,A Stone is Most Precious Where it Belongs,Gulchehra Hoja,4.37,845,91
1439,"Tres meses (Meses a tu lado, #3)",Joana Marcús,4.36,"48,895",91
1440,Dead Silence,S.A. Barnes,3.80,"29,645",91
1441,"The Care and Feeding of Waspish Widows (Feminine Pursuits, #2)",Olivia Waite,3.88,"3,267",91
1442,Evenings and Weekends,Oisín McKenna,3.90,"8,297",91
1443,The Last Kings of Shanghai: The Rival Jewish Dynasties That Helped Create Modern China,Jonathan Kaufman,4.27,"4,105",91
1444,The Frugal Wizard's Handbook for Surviving Medieval England,Brandon Sanderson,3.77,"50,245",91
1445,"A City on Mars: Can We Settle Space, Should We Settle Space, and Have We Really Thought This Through?",Kelly Weinersmith,4.05,"3,821",91
1446,The Cactus League,Emily Nemens,3.43,"4,370",90
1447,"A Whisper in the Dark (Charlie Travesty, #1)",Jessi Elliott,3.42,"1,117",90
1448,Κόκκινο,Κώστας Χαρίτος,4.11,18,90
1449,Three Hours,Rosamund Lupton,4.17,"21,418",90
